name,lat,long
Kilauea,19.425,-155.292
Kilimanjaro,-3.07,37.35
Kinenin,57.35,160.967
Kirishima,31.93,130.87
"Kishb, Harrat",22.8,41.38
Kiska,52.1,177.6
Kita-Fukutokutai,24.414,141.419
Kita-Iwo-jima,25.43,141.23
Kizimen,55.13,160.32
Klabat,1.47,125.03
Kliuchevskoi,56.057,160.638
Kolbeinsey Ridge,66.67,-18.5
Kolkhozhny,55.07,160.77
Kolokol Group,46.042,150.05
Komaga-take,42.07,140.68
Komarov,55.032,160.72
Kone,8.8,39.692
Koniuji,52.22,-175.13
Kookooligit Mountains,63.6,-170.43
Koranga,-7.33,146.708
Korath Range,5.1,35.88
Koro,-17.32,179.4
Korosi,0.77,36.12
Koryaksky,53.32,158.688
Koshelev,51.357,156.75
"Koussi, Emi",19.8,18.53
Kozu-shima,34.22,139.15
Kozyrevsky,55.58,158.38
Krafla,65.73,-16.78
Krainy,56.37,159.03
Krakagiger,63.98,-19.7
Krakatau,-6.102,105.423
Krasheninnikov,54.593,160.273
Kristnitokugigar,63.98,-21.42
Krisuvik,63.93,-22.1
Kronotsky,54.753,160.527
Ksudach,51.8,157.53
Kuchino-shima,29.97,129.93
Kuchino-shima,29.964,129.928
Kuchinoerabu-jima,30.43,130.22
Kuei-Shan-Tao,24.85,121.92
Kuju Group,33.08,131.25
Kukak,58.47,-154.35
Kula,38.58,28.52
Kulkev,56.37,158.37
Kunlun Volc Group,35.52,80.2
Kupreanof,56.02,-159.8
Kurikoma,38.95,140.78
Kurile Lake,51.45,157.12
Kurose Hole,33.4,139.68
Kurose Hole,33.4,139.683
Kurub,11.88,41.208
Kusatsu-Shirane,36.62,138.55
Kutcharo,43.55,144.43
Kuttara,42.5,141.18
Kutum Volc Field,14.5,25.8
Kuwae,-16.829,168.536
Kverkfjoll,64.65,-16.72
Kyatwa Volc Field,0.45,30.25
La Palma,28.58,-17.83
"Lajas, Las",12.3,-85.73
Lakagigar,64.42,17.33
Lambafit,64.08,-19.4
Lamington,-8.95,148.15
Lamongan,-8,113.342
Langila,-5.525,148.42
Langjokull,64.75,-19.98
Lanin,-39.633,-71.5
Lanzarote,29.03,-13.63
Larderello,43.25,10.87
Lascar,-23.37,-67.73
Lassen Volc Center,40.492,-121.508
Lastarria,-25.17,-68.5
Late,-18.806,-174.65
Latukan,7.65,124.47
Lautaro,-49.02,-73.55
Lavic Lake,34.75,-116.625
Lawu,-7.625,111.192
Leizhou Bandao,20.83,109.78
"Lengai, Ol Doinyo",-2.751,35.902
Leonard Range,7.393,126.397
Leroboleng,-8.358,122.842
Leskov Island,-56.67,-28.13
Leutongey,57.3,159.83
Level Mountain,58.42,-131.35
Lewotobi,-8.53,122.775
Lewotobi Perempuan,-8.575,122.78
Lewotolo,-8.272,123.505
Lexone,-17.87,-69.48
Liado Hayk Field,9.57,40.28
Liamuiga,17.37,-62.8
Licancabur,-22.83,-67.88
Lihir,-3.125,152.642
Lindenberg Island,-65.03,-60.05
Lipari,38.483,14.95
Lipari,38.48,14.95
Little Sitkin,51.95,178.53
Ljosufjoll,64.87,-22.23
Llaima,-38.692,-71.729
Llullaillaco,-24.72,-68.53
Loihi,18.92,-155.27
Lokon-Empung,1.358,124.792
Lolo,-5.47,150.5
Lolobau,-4.92,151.158
Loloru,-6.52,155.62
Lomonosov Group,50.25,155.43
Long Island,-5.358,147.12
"Longavi, Nevado de",-36.193,-71.161
Longgang Group,42.33,126.5
Longonot,-0.92,36.45
Lonquimay,-38.377,-71.58
Lopevi,-16.507,168.346
Lower Chindwin,22.28,95.1
Lubukraya,1.478,99.209
"Lumut Balai, Bukit",-4.22,103.62
"Lunayyir, Harrat",25.17,37.75
Lurus,-7.7,113.58
Lvinaya Past,44.62,147
Lysuholl,64.87,-23.25
Ma Alalta,13.02,40.2
Maca,-45.1,-73.2
Macauley Island,-30.2,-178.47
Macdonald,-28.98,-140.25
"Machin, Cerro",4.48,-75.4
Madeira,32.733,-16.967
Maderas,11.446,-85.515
Madilogo,-9.2,147.57
Magaso,9.258,123.175
Mageik,58.2,-155.25
Mahagnoa,10.872,124.853
Mahawu,1.358,124.858
Maipo,-34.161,-69.833
Makaturing,7.647,124.32
Makian,0.32,127.4
Makushin,53.9,-166.93
Malabar,-7.13,107.65
Malang Plain,-8.02,112.68
Malinao,13.422,123.597
"Malinche, La",19.23,-98.03
Malindang,8.22,123.63
Malindig,13.24,122.018
Malintang,0.467,99.667
Mallahle,13.27,41.65
Maly Payalpan,55.82,157.98
Maly Semiachik,54.13,159.67
Managlase Plateau,-9.08,148.33
Manam,-4.1,145.061
Manareyjar,66.3,-17.1
Manda Gargori,11.75,41.483
Manda Hararo,12.17,40.82
Manda-Inakir,12.38,42.2
Mandalagan,10.615,123.22
Manengouba,5.03,9.83
Manuk,-5.53,130.292
Manzaz Volc Field,23.917,5.833
Maquiling,14.13,121.2
Marapi,-0.381,100.473
Marchena,0.33,-90.47
Mare,0.57,127.4
"Marha, Jabal el-",15.28,44.22
Marion Island,-46.9,37.75
Mariveles,14.5,120.5
Markagunt Plateau,37.58,-112.67
Maroa,-38.42,176.08
"Marra, Jebel",12.95,24.27
Marsabit,2.32,37.97
Martin,58.17,-155.35
Masaraga,13.32,123.6
Masaya,11.984,-86.161
Mascota Volc Field,20.62,-104.83
Mashkovtsev,51.1,156.72
Mashu,43.57,144.57
Mat Ala,13.1,41.15
Matthew Island,-22.33,171.32
Matutum,6.37,125.108
Maug Islands,20.017,145.217
"Maule, Laguna del",-36.02,-70.58
Mauna Kea,19.82,-155.47
Mauna Loa,19.475,-155.608
May-ya-moto,-0.93,29.33
Mayon,13.257,123.685
Mayor Island,-37.28,176.25
McDonald Islands,-53.03,72.6
Meager,50.63,-123.5
Medicine Lake,41.58,-121.57
Medvezhia,45.38,148.83
Mega Basalt Field,4.08,37.42
Megata,39.95,139.73
Mehetia,-17.87,-148.07
Meidob Volc Field,15.32,26.47
Melbourne,-74.35,164.7
Melimoyu,-44.08,-72.88
Mendeleev,43.98,145.7
Menengai,-0.2,36.07
Mentolat,-44.67,-73.08
Merapi,-7.542,110.442
Merbabu,-7.45,110.43
Mere Lava,-14.45,168.05
